"gene_name","p_value","log2fc","fdr"
"Baz1a",0.00574198843893201,-0.934769621891421,0.135111370915016
"Chd9",0.00314298353347495,-0.866964985346332,0.135111370915016
"Dpf3",0.00327977870177938,-1.15799100459552,0.135111370915016
"Hdac7",0.00214531486111333,-1.36153736898823,0.135111370915016
"Jmjd6",0.00557162951861328,0.92733763577713,0.135111370915016
"L3mbtl3",0.00195690405619363,-0.576375002769494,0.135111370915016
"Prdm1",0.00641458585925905,-2.72246595770174,0.135111370915016
"Pwwp2b",0.00307174927356436,-1.40546877747693,0.135111370915016
"Rsf1",0.00149600284214831,0.353636954212613,0.135111370915016
"Sirt2",0.00708449135883979,-0.798804737339486,0.135111370915016
"Smyd1",0.00686964693597905,-2.38466346142397,0.135111370915016
"Tcf20",0.00362293054130575,1.04570036372067,0.135111370915016
"Tet1",0.00500361581228056,0.742161825313566,0.135111370915016
"Tyw5",0.00568424630587033,0.753078941717966,0.135111370915016
"Cbx3",0.0101038426966702,0.693795839060186,0.17984840000073
"Hdac10",0.0126910855075398,0.595965800363699,0.200504593799026
"Hdac11",0.0127662100920728,-0.568182544102896,0.200504593799026
"Dpf1",0.0157825577248656,2.38921949934872,0.234107939585506
"Hdac4",0.0172446156145857,-0.874683053320256,0.241660631821582
"Phf6",0.0181019199866354,0.958498294375222,0.241660631821582
"Hdac9",0.0199890530441917,-2.12836671063237,0.242594416490872
"Smarca1",0.0194691370587689,1.60090403975477,0.242594416490872
"Cbx4",0.0216779336348337,0.802235936175544,0.248108003229353
"Tdrd7",0.023231086444696,0.90502658283626,0.248108003229353
"Uhrf1",0.0223410256874949,-1.80619003167087,0.248108003229353
"Akap1",0.0486050304440524,0.969453196656314,0.2579307459098
"Alg13",0.0252904181283897,0.106915203499308,0.2579307459098
"Asxl3",0.0297431790072532,1.6505855292055,0.2579307459098
"Brd8",0.0399495501799451,0.914397990402303,0.2579307459098
"Brdt",0.0331184530073117,0.570089213371975,0.2579307459098
"Chd4",0.039385211322403,0.53095986626365,0.2579307459098
"Chd5",0.0542866496234314,2.16533769991594,0.2579307459098
"Dnmt1",0.030611567467754,1.21355193114324,0.2579307459098
"Eed",0.0312050750720711,-0.722466023349378,0.2579307459098
"G2e3",0.0465240336543871,0.758230941132894,0.2579307459098
"Hdac5",0.0482297629551642,-0.485024625911494,0.2579307459098
"Hspbap1",0.0465131844678213,-0.34830609903776,0.2579307459098
"Jade1",0.0440979447502429,0.621365483080696,0.2579307459098
"Jade3",0.0481256685886359,-0.832566861947602,0.2579307459098
"Kat2b",0.0544639356642847,-0.57564874408343,0.2579307459098
"Kdm4b",0.0560298998605557,0.676546049169024,0.2579307459098
"Kdm5c",0.0380465393046535,-0.379200753307476,0.2579307459098
"L3mbtl2",0.0529141214698409,0.709204520437821,0.2579307459098
"Mbd3",0.0534285747889724,0.722342695519673,0.2579307459098
"Morc3",0.049511246180879,0.448810502173433,0.2579307459098
"Mtf2",0.0393709862889241,0.407908034470077,0.2579307459098
"Phf3",0.0368339644745645,0.410569351192301,0.2579307459098
"Phip",0.0420962794104735,0.673975275066374,0.2579307459098
"Psip1",0.0521122268555903,0.598987926880151,0.2579307459098
"Rai1",0.0523262439772187,0.9542792634852,0.2579307459098
